Channel,delta,theta,alpha,beta,gamma,max_energy_band,Frontal Lobe,Temporal Lobe,Parietal Lobe,Occipital Lobe,Central Region
Fp1,1.113029171998816e-08,1.1766049250503184e-09,1.8322041257985965e-10,1.2850157764179901e-10,7.794284404166446e-11,delta,1,0,0,0,0
Fz,1.3072696958016825e-09,1.776551151484836e-10,1.016569173906827e-10,1.3540449169876977e-10,7.701714335694378e-11,delta,1,0,0,0,0
F3,1.3985037530831503e-09,1.9771720117421649e-10,1.3408256417897624e-10,3.695980255636047e-10,3.076008979453359e-10,delta,1,0,0,0,0
F7,3.2065224012885577e-09,2.5328778528381013e-10,1.1953635505912605e-10,1.7864741951561948e-10,1.7549741817686213e-10,delta,1,0,0,0,0
Iz,1.6769727694661436e-10,6.605636825664204e-11,7.363635903580046e-11,1.1586707773146428e-10,8.48509390838648e-11,delta,0,0,0,1,0
Fc5,1.1716505788929359e-09,1.4891639334914368e-10,1.3051897192790051e-10,3.3358405045908896e-10,3.4398851589526515e-10,delta,1,0,0,0,1
Fc1,4.920067391597425e-10,8.802932042785785e-11,8.310405553533437e-11,1.455670494929718e-10,9.927160813525881e-11,delta,1,0,0,0,1
C3,3.7665305940780033e-10,8.609851115459931e-11,1.0510268471512648e-10,3.2273433630036e-10,3.090353838929974e-10,delta,0,0,0,0,1
T7,4.381163252013448e-09,4.010289877574737e-10,1.633355930043136e-10,3.718156810881328e-10,3.564351174728457e-10,delta,0,1,0,0,0
Tp9,6.299420910616189e-10,1.1327258700494542e-10,1.1081223495581325e-10,2.2004218357214589e-10,1.7766669276198846e-10,delta,0,1,1,0,0
Cp5,1.7658183423694342e-10,5.971975927549512e-11,7.740810382877419e-11,1.2987819493526934e-10,1.5346137840898385e-10,delta,0,0,1,0,1
Cp1,4.5274869125047674e-11,1.5715184682528618e-11,1.9744164545843507e-11,2.7378684643897128e-11,2.054979579728875e-11,delta,0,0,1,0,1
P3,3.296455368465693e-11,2.914429202380929e-11,3.5061981483355933e-11,3.753766130936276e-11,3.142736286504041e-11,beta,0,0,1,0,0
P7,1.0830505035834635e-10,6.227229893754756e-11,7.011577159796624e-11,8.260051819981803e-11,5.147235171786168e-11,delta,0,0,1,0,0
O1,8.877777073228919e-11,4.8632748923776193e-11,5.0845050749991675e-11,7.478923456446356e-11,5.927002247845116e-11,delta,0,0,0,1,0
Oz,1.0139933168514685e-10,4.7523155838022223e-11,4.666879069220045e-11,6.254032269854357e-11,4.4294717880883296e-11,delta,0,0,0,1,0
O2,1.0130203077613474e-10,4.771445754605027e-11,4.690618151957204e-11,6.33689686098801e-11,4.526473607125793e-11,delta,0,0,0,1,0
P4,2.092034774824293e-11,2.3044412327860292e-11,3.004785402196025e-11,2.7976080455291934e-11,1.6160794410995998e-11,alpha,0,0,1,0,0
P8,7.063786236384459e-11,5.7945992398275035e-11,6.705200760424173e-11,6.56321544963512e-11,4.416090213940214e-11,delta,0,0,1,0,0
Tp10,3.042320905526697e-10,9.200881308565107e-11,1.0803632524738043e-10,2.2086890373668995e-10,1.6280455684107338e-10,delta,0,1,1,0,0
Cp6,8.164260148581024e-11,5.516586278058348e-11,6.735622758685664e-11,1.3618794290533327e-10,1.1984567138104356e-10,beta,0,0,1,0,1
Cp2,3.701134193183543e-11,1.597645742685954e-11,1.928093292612373e-11,3.305160645784495e-11,1.8837685480622142e-11,delta,0,0,1,0,1
Cz,9.565238131133141e-11,3.0607997133111286e-11,3.623953509436191e-11,4.3330853227960374e-11,2.0634639615620595e-11,delta,0,0,0,0,1
C4,2.463463751396005e-10,8.192578141472381e-11,1.0715514931613507e-10,4.130779414914016e-10,3.021238406623616e-10,beta,0,0,0,0,1
T8,5.384331218508424e-10,1.1073624328416757e-10,1.4259604231716204e-10,4.759232043473165e-10,3.7709978342801e-10,delta,0,1,0,0,0
Ft10,5.180765324584142e-07,6.127780895184204e-08,2.298461048360541e-08,1.9212272734375985e-08,5.134943514840658e-09,delta,1,1,0,0,0
Fc6,6.406729758152851e-10,1.1091568601730011e-10,8.960906469063035e-11,1.4406380112905696e-10,1.3684022907690292e-10,delta,1,0,0,0,1
Fc2,4.267965086481514e-10,8.804087056964867e-11,9.363752105638413e-11,2.352279383656221e-10,1.6581441039117427e-10,delta,1,0,0,0,1
F4,1.8078794486774284e-09,2.9186460770555383e-10,2.50773723316802e-10,1.254170930556864e-09,1.0673798984585223e-09,delta,1,0,0,0,0
F8,1.0216833361176926e-09,1.39337291865294e-10,1.3212077135329175e-10,4.0069676331490264e-10,3.3203537538596893e-10,delta,1,0,0,0,0
Fp2,1.1735599373140285e-08,1.2260660797172705e-09,1.9662074702841473e-10,1.705985749556593e-10,1.254149562846051e-10,delta,1,0,0,0,0
Af7,6.97246088678835e-09,5.756177018623915e-10,1.4452493951373003e-10,2.4750218406792036e-10,2.267559891008929e-10,delta,1,0,0,0,0
Af3,4.3497920640761846e-09,4.931270844672325e-10,1.346983877029626e-10,1.5611881018028034e-10,1.0651162638112631e-10,delta,1,0,0,0,0
Afz,3.605255492520731e-09,4.240731836799192e-10,1.2636390099508622e-10,1.218749649654276e-10,6.496416242285566e-11,delta,1,0,0,0,0
F1,1.3064415684512853e-09,1.776621593229202e-10,1.0164495346999943e-10,1.3614125174929394e-10,7.77621232298484e-11,delta,1,0,0,0,0
F5,2.1089737478939084e-09,2.5534587241296666e-10,1.7093162459350605e-10,6.300907116707392e-10,5.539319111413858e-10,delta,1,0,0,0,0
Ft7,8.636876006874634e-10,1.176704311167561e-10,1.339609030785305e-10,3.301805094990918e-10,3.1992872567209346e-10,delta,1,1,0,0,0
Fc3,1.311899213066365e-09,1.8888871571366188e-10,1.359341541229294e-10,3.9818385384531663e-10,3.390976382687744e-10,delta,1,0,0,0,1
C1,1.3290228754135733e-10,3.779024539294921e-11,4.482762508321857e-11,6.585766297539317e-11,4.319364573933839e-11,delta,0,0,0,0,1
C5,4.844477153601994e-10,7.93668917364801e-11,8.213955622777878e-11,1.5733699625712805e-10,1.5321091445032576e-10,delta,0,0,0,0,1
Tp7,2.0842340707802373e-10,6.888558469511494e-11,8.15950308384447e-11,1.347809731856132e-10,1.1971741528274097e-10,delta,0,1,1,0,0
Cp3,1.2382255709619114e-10,4.254098358029623e-11,5.7641868630221496e-11,1.274125000675374e-10,1.3741448080578426e-10,gamma,0,0,1,0,1
P1,1.3232981195131172e-11,6.913280941539379e-12,9.149861163854145e-12,8.892280994641307e-12,5.92059255690572e-12,delta,0,0,1,0,0
P5,3.5178318005927744e-11,3.099762988172176e-11,3.706280308561217e-11,4.023713038810241e-11,3.3598678642084215e-11,beta,0,0,1,0,0
Po7,9.880173565612418e-11,5.808514580431191e-11,6.429698235223494e-11,9.214144131493361e-11,7.066064311922752e-11,delta,0,0,0,1,0
I1,1.7809812824619394e-10,6.919009533957892e-11,7.508712208661158e-11,1.1742808670961945e-10,8.339339438314166e-11,delta,0,0,0,1,0
Poz,2.7024965521404214e-11,1.5012692171475098e-11,1.2095697925535436e-11,1.2766281290328513e-11,7.921985024049868e-12,delta,0,0,0,1,0
I2,1.710505091712323e-10,6.576050954232934e-11,7.470808082721395e-11,1.1911983258138741e-10,9.347513226487804e-11,delta,0,0,0,1,0
Po8,8.047105725057335e-11,5.511188384657638e-11,6.126308469157456e-11,8.826016507360205e-11,7.480779818561791e-11,beta,0,0,0,1,0
P6,3.6320705110617e-11,4.2344024458906694e-11,5.1286923827966007e-11,4.6319714233664737e-11,2.947113795467412e-11,alpha,0,0,1,0,0
P2,1.0532825210888232e-11,6.367355963060242e-12,9.846739662336197e-12,8.328587182039276e-12,4.126619035042014e-12,delta,0,0,1,0,0
Cpz,3.659894759822295e-11,1.1222730209271632e-11,1.1279440822263762e-11,1.3660757651055837e-11,6.7069099603226156e-12,delta,0,0,1,0,1
Cp4,6.957609478234921e-11,3.559302022969226e-11,4.4356164619225576e-11,1.060163691916198e-10,7.292129592815606e-11,beta,0,0,1,0,1
Tp8,1.2804564274498028e-10,6.354145227285525e-11,8.015256054006761e-11,9.854445554906148e-11,6.99549843324361e-11,delta,0,1,1,0,0
C6,3.203901981145187e-10,7.737313702581931e-11,7.540369493296446e-11,1.1721217745194288e-10,8.502557011544609e-11,delta,0,0,0,0,1
C2,1.1867453757990672e-10,3.788322202311789e-11,4.6467917746348124e-11,8.913529510483186e-11,5.307956880296086e-11,delta,0,0,0,0,1
Fc4,7.857585550578948e-10,1.697960047143948e-10,1.9386773281945013e-10,9.793721249725572e-10,7.952881075291117e-10,beta,1,0,0,0,1
Ft8,5.417279859806152e-10,1.0724343049976464e-10,1.3362754631596418e-10,4.272819290324266e-10,3.0720797318313453e-10,delta,1,1,0,0,0
F6,1.537156420384687e-09,2.310640090180278e-10,1.3838668005947074e-10,3.525851754492374e-10,3.163154472081195e-10,delta,1,0,0,0,0
Af8,5.812832987976684e-09,5.941434873370284e-10,1.7709401818155132e-10,3.073869739556653e-10,3.3097813890348433e-10,delta,1,0,0,0,0
Af4,4.01368658265289e-09,4.74944419206557e-10,1.491698697272748e-10,2.5935203668325263e-10,1.9821555752443613e-10,delta,1,0,0,0,0
F2,1.0515376922046461e-09,1.6105699852185718e-10,1.2181078564700036e-10,3.087494951725077e-10,2.261484315016883e-10,delta,1,0,0,0,0
Fcz,3.513441974186987e-10,7.181412394731401e-11,7.409103116202017e-11,1.0766508377354185e-10,6.007087707156572e-11,delta,1,0,0,0,1
