Channel,delta,theta,alpha,beta,gamma,max_energy_band,Frontal Lobe,Temporal Lobe,Parietal Lobe,Occipital Lobe,Central Region
Fp1,3.0638222791229375e-08,2.219435109087135e-09,2.7139585733613394e-10,1.2109108466038187e-09,1.131250674218547e-09,delta,1,0,0,0,0
Fz,7.344953508418257e-10,1.0910602641679078e-10,6.280323223934488e-11,1.1960357711120275e-10,4.316700487862525e-11,delta,1,0,0,0,0
F3,1.2882537770283767e-08,1.0158998878171919e-09,1.568923789525794e-10,2.479495385401509e-10,2.9586550481371233e-10,delta,1,0,0,0,0
F7,1.4127178623546704e-08,1.0982826928523173e-09,1.6171630647510495e-10,2.5348944425216894e-10,2.9681240898531203e-10,delta,1,0,0,0,0
Iz,6.201550312629999e-10,1.5425134180630312e-10,1.0680601822443824e-10,8.80060776300268e-11,6.333682412193749e-11,delta,0,0,0,1,0
Fc5,8.919509442820016e-10,1.6201552778927654e-10,1.482111790011348e-10,9.99362141273943e-10,1.4358611459636308e-09,gamma,1,0,0,0,1
Fc1,9.13725235164253e-10,1.1733887484834743e-10,6.419088028056143e-11,1.560612882273227e-10,1.285520973458643e-10,delta,1,0,0,0,1
C3,2.580583639320155e-10,7.481115460425231e-11,7.195157259781822e-11,3.1535545432292036e-10,4.057600823865285e-10,gamma,0,0,0,0,1
T7,1.8742476143152988e-10,1.0940856919735483e-10,1.248809170490512e-10,1.555179272455271e-10,1.6039260263540935e-10,delta,0,1,0,0,0
Tp9,4.882757399800004e-10,1.733869738234831e-10,1.3623739161848448e-10,1.814554320614479e-10,1.591546684942488e-10,delta,0,1,1,0,0
Cp5,7.374174642186106e-11,8.447937209008714e-11,1.0113009448763125e-10,1.889482888153947e-10,2.331200589431632e-10,gamma,0,0,1,0,1
Cp1,4.116300374604172e-11,1.805924193244559e-11,1.5438187270595158e-11,2.2517932940978666e-11,1.7145732940216454e-11,delta,0,0,1,0,1
P3,6.292340495470978e-11,7.116385385647618e-11,7.122214721445114e-11,4.948039367412401e-11,3.6960058708488436e-11,alpha,0,0,1,0,0
P7,2.2536902981885087e-10,1.516944322328547e-10,1.3392823944671056e-10,1.9378225719868804e-10,2.2778118184795005e-10,gamma,0,0,1,0,0
