Channel,delta,theta,alpha,beta,gamma,max_energy_band,Frontal Lobe,Temporal Lobe,Parietal Lobe,Occipital Lobe,Central Region
Fp1,3.874803620735142e-09,2.413159230332744e-10,3.847889750708486e-11,3.810810194474333e-11,4.72374234409678e-11,delta,1,0,0,0,0
Fz,4.679804509162503e-10,3.45554540321299e-11,1.5501713769909252e-11,1.5082382778405423e-11,8.764245468672451e-12,delta,1,0,0,0,0
F3,5.553232692351731e-10,3.995602430492371e-11,1.7286263030474863e-11,2.1466691888841147e-11,1.9387491198787844e-11,delta,1,0,0,0,0
F7,8.932242398496237e-10,6.43353790102679e-11,2.6929792010321874e-11,4.087106734123756e-11,5.086635628868885e-11,delta,1,0,0,0,0
Iz,2.2428531249183696e-10,3.1838029835400936e-11,2.458780018751879e-11,3.6906999018414706e-11,2.65907994176327e-11,delta,0,0,0,1,0
Fc5,2.673194988149978e-10,2.613358755952855e-11,1.9126514991475388e-11,3.3463898171522894e-11,3.6927272918579195e-11,delta,1,0,0,0,1
Fc1,1.9539777343646174e-10,1.948392621697507e-11,1.2308826001103352e-11,1.4394268442973461e-11,9.749883499959369e-12,delta,1,0,0,0,1
C3,6.999885277371234e-11,1.127232444612649e-11,9.662037925898105e-12,1.6922311367711368e-11,1.7251042121459623e-11,delta,0,0,0,0,1
T7,9.766828405628239e-11,2.3006945988248954e-11,2.176319064782284e-11,3.500796694678257e-11,3.445334763591728e-11,delta,0,1,0,0,0
Tp9,1.3384283481110717e-10,3.9334657094095195e-11,3.600849160343717e-11,6.209008313583384e-11,5.660109970055879e-11,delta,0,1,1,0,0
Cp5,2.612176196284812e-11,1.3835428838040255e-11,1.4566819660017295e-11,2.0754106691364032e-11,2.1201611116296064e-11,delta,0,0,1,0,1
Cp1,1.4982118848207286e-11,3.920005699109125e-12,3.324969526780615e-12,4.400305447087585e-12,2.8059604079782597e-12,delta,0,0,1,0,1
P3,1.2929575841544474e-11,8.953023749143712e-12,8.766916640682248e-12,1.185302298017994e-11,1.0384575348492223e-11,delta,0,0,1,0,0
P7,7.146209398284571e-11,3.163050228924635e-11,3.2354673867428054e-11,7.474610884691341e-11,8.313486417886799e-11,gamma,0,0,1,0,0
O1,1.4270265734979562e-10,2.5649690789741635e-11,2.0594504167070013e-11,2.958699845696767e-11,2.3376527789434677e-11,delta,0,0,0,1,0
Oz,1.3469656592989133e-10,1.541994944308179e-11,1.1305745583740943e-11,1.4440273355619628e-11,1.085072937246148e-11,delta,0,0,0,1,0
O2,1.392580797129727e-10,1.8941935705120304e-11,1.571932207949559e-11,2.4231207916292944e-11,2.2423480504403807e-11,delta,0,0,0,1,0
P4,8.279910830423528e-12,3.986177796850606e-12,4.344316126000273e-12,4.051715043001602e-12,3.1662336240044494e-12,delta,0,0,1,0,0
P8,8.088307209135159e-11,2.256555371869056e-11,2.7226183566148173e-11,5.741267770690634e-11,7.014831501650249e-11,delta,0,0,1,0,0
Tp10,3.50845136296332e-10,4.404979740846345e-11,4.0751414047916916e-11,7.855779668511358e-11,7.5059554838797e-11,delta,0,1,1,0,0
Cp6,3.103348281924846e-11,1.527409040480466e-11,1.8100973403782378e-11,3.312223779264593e-11,3.75816879536979e-11,gamma,0,0,1,0,1
Cp2,1.4151120883280775e-11,3.4323037386958596e-12,3.025835629126353e-12,5.077609266890713e-12,4.658477461357775e-12,delta,0,0,1,0,1
Cz,5.711851926997394e-11,9.227430444310938e-12,7.0838728583964885e-12,7.212845528011029e-12,3.564743267348205e-12,delta,0,0,0,0,1
C4,7.485762155880633e-11,1.3932994678963781e-11,1.4218128670893617e-11,5.878135992849347e-11,8.430544812561286e-11,gamma,0,0,0,0,1
T8,1.427303488988973e-10,2.7720257802524283e-11,2.997665863031449e-11,7.700297099009938e-11,9.129900766537683e-11,delta,0,1,0,0,0
