Channel,delta,theta,alpha,beta,gamma,max_energy_band,Frontal Lobe,Temporal Lobe,Parietal Lobe,Occipital Lobe,Central Region
Fp1,7.962485739628119e-09,1.0583907588398198e-09,1.1272902993668293e-10,1.6691884836020729e-10,1.1268351532959042e-10,delta,1,0,0,0,0
Fz,4.944477409862367e-10,7.71859187520395e-11,3.1887036351373614e-11,4.420338963615146e-11,2.206775782354469e-11,delta,1,0,0,0,0
F3,1.109402771991325e-09,1.601990580865832e-10,5.468519816422817e-11,7.470296943054218e-11,5.422597002221246e-11,delta,1,0,0,0,0
F7,1.0207727084092362e-09,1.4464537083010476e-10,6.633818299188681e-11,8.006792547975865e-11,5.912965732444582e-11,delta,1,0,0,0,0
Iz,1.365551017027713e-10,1.919200095708891e-11,2.071235963917303e-11,4.427267591160396e-11,3.92812888820855e-11,delta,0,0,0,1,0
Fc5,1.168887693863915e-09,2.738628539313848e-10,1.9607084528952626e-10,5.560881537079017e-10,1.1950833927308489e-09,gamma,1,0,0,0,1
Fc1,2.801852660634116e-10,4.6826812899393535e-11,2.729033742089498e-11,4.1697697831620295e-11,2.1302057992032023e-11,delta,1,0,0,0,1
C3,1.051044434734182e-10,2.9344634696794025e-11,4.55227714952021e-11,1.4227270157032112e-10,1.2553040833637057e-10,beta,0,0,0,0,1
T7,2.39600764678025e-10,4.156536457288692e-11,6.323859033237666e-11,9.313284296085899e-11,7.498346880236003e-11,delta,0,1,0,0,0
Tp9,1.6428572196358165e-10,5.182971534704825e-11,6.986183865161582e-11,9.971259301811456e-11,7.062991481079801e-11,delta,0,1,1,0,0
Cp5,2.4850767408874996e-11,1.1289910122275696e-11,2.766285133907608e-11,2.341687367155123e-11,2.096186229513418e-11,alpha,0,0,1,0,1
Cp1,2.5461077562714918e-11,7.140227926215149e-12,1.1636161284607526e-11,1.6886884454811508e-11,8.088662257544472e-12,delta,0,0,1,0,1
P3,2.1816830672791856e-12,1.4907684588977422e-12,4.037567062576867e-12,4.017709504796034e-12,3.4035344407166884e-12,alpha,0,0,1,0,0
P7,2.3315716662876516e-12,1.5849862287597479e-12,4.273712170210604e-12,4.153364160625485e-12,3.492598517759404e-12,alpha,0,0,1,0,0
O1,4.497440442430447e-11,1.1672164134200528e-11,1.669285866558981e-11,2.474542188105825e-11,1.7856199690655325e-11,delta,0,0,0,1,0
Oz,3.9408155072642204e-11,8.744499024848229e-12,1.212054603636433e-11,2.0276261716448477e-11,1.6085198967397814e-11,delta,0,0,0,1,0
O2,3.951686049955919e-11,8.79102322898396e-12,1.211687131803127e-11,2.0344609623476458e-11,1.615363148337363e-11,delta,0,0,0,1,0
P4,7.355697465144008e-14,9.331570055245842e-14,1.2466929475162152e-13,3.9843713248485406e-13,3.4572406027989433e-13,beta,0,0,1,0,0
P8,1.5150941633386795e-11,8.471520634078681e-12,1.8903378340870395e-11,2.2287590908061605e-11,1.5375172805750357e-11,beta,0,0,1,0,0
Tp10,1.2587689346019143e-10,5.052593132415579e-11,5.719572306234332e-11,1.3251909538788034e-10,9.295411881242695e-11,beta,0,1,1,0,0
Cp6,1.5152469080970026e-11,8.486181472121348e-12,1.8882022697109726e-11,2.2308457093874663e-11,1.541662238033215e-11,beta,0,0,1,0,1
Cp2,3.4000924461238574e-11,9.698187216246703e-12,1.5320310217904253e-11,2.1910480698923678e-11,1.229129418038523e-11,delta,0,0,1,0,1
Cz,2.5196706486452587e-10,4.2629545329208243e-11,2.645989492865432e-11,4.0542385592468304e-11,2.0638814602491345e-11,delta,0,0,0,0,1
C4,1.4176802220482297e-10,3.823519133181841e-11,4.200438640126115e-11,1.6774240218801126e-10,1.5415119104754053e-10,beta,0,0,0,0,1
T8,1.1419485578585352e-08,1.498142158971619e-09,4.408710129093029e-10,5.096729531840242e-10,2.347095411001889e-10,delta,0,1,0,0,0
Ft10,4.0039066949598493e-10,7.176889231821197e-11,4.906458214046455e-11,9.10464925832264e-11,7.080027032241548e-11,delta,1,1,0,0,0
Fc6,9.72464545932722e-10,1.4912694392928777e-10,5.112321110853768e-11,1.296810807259898e-10,1.1063011325902555e-10,delta,1,0,0,0,1
Fc2,2.906823936751531e-10,4.82265275611322e-11,2.7619234096379044e-11,4.197362998093984e-11,2.136900858082848e-11,delta,1,0,0,0,1
F4,1.0560229302834436e-09,1.6215678699211368e-10,5.159185212313487e-11,1.3350248067770788e-10,1.135951997293663e-10,delta,1,0,0,0,0
F8,9.877150711752658e-10,1.497521397633275e-10,5.179271440859071e-11,1.2982989020848318e-10,1.0964253901568128e-10,delta,1,0,0,0,0
Fp2,8.182992302884925e-09,1.191902870157725e-09,1.1898434421937364e-10,1.1600924819063675e-10,7.60466553095856e-11,delta,1,0,0,0,0
Af7,1.2610886514618482e-09,1.7562660846826322e-10,6.796035342256441e-11,7.749048510054531e-11,5.641258500568568e-11,delta,1,0,0,0,0
Af3,2.9829165537214165e-09,4.1188619994448474e-10,7.095923951142147e-11,1.370182068355645e-10,1.048427543373605e-10,delta,1,0,0,0,0
Afz,2.735337258192622e-09,3.9202581505819873e-10,6.277957977236059e-11,7.24780217064937e-11,4.3487018182950154e-11,delta,1,0,0,0,0
F1,1.065109142302845e-09,1.5463901279954678e-10,5.127219896919494e-11,6.900432727156801e-11,4.8020198156753134e-11,delta,1,0,0,0,0
F5,1.0633934938354132e-09,1.5133145463085364e-10,6.176645253987804e-11,7.571560684937602e-11,5.442293554176109e-11,delta,1,0,0,0,0
Ft7,9.462630895856182e-10,1.3520694621076637e-10,6.63956329801738e-11,8.135027330603452e-11,6.044909457439779e-11,delta,1,1,0,0,0
Fc3,3.950004210402251e-10,8.203365044075854e-11,7.204278242775922e-11,2.2435765506888014e-10,2.3430190829203063e-10,delta,1,0,0,0,1
C1,2.531038883577694e-10,4.278316937618313e-11,2.6431784729963108e-11,4.0590336524393623e-11,2.0770201831518838e-11,delta,0,0,0,0,1
C5,2.3948721314632016e-10,4.1451308009664974e-11,6.317317090502589e-11,9.296243350942731e-11,7.482555636578986e-11,delta,0,0,0,0,1
Tp7,2.517245187205911e-11,1.138996057260592e-11,2.7890104247345584e-11,2.3487495882401758e-11,2.098877437614053e-11,alpha,0,1,1,0,0
Cp3,2.3076191702315112e-11,1.068567066323161e-11,2.6098784944337697e-11,2.2608930682494102e-11,2.0034396630241154e-11,alpha,0,0,1,0,1
P1,2.1268652097908073e-12,1.4359515298823021e-12,3.873473770503818e-12,3.813773149160938e-12,3.1912787266641854e-12,alpha,0,0,1,0,0
P5,2.3252031715592187e-12,1.5631067634076517e-12,4.206791471092587e-12,4.1143113693534156e-12,3.4601157478988287e-12,alpha,0,0,1,0,0
Po7,4.4046238916803265e-11,1.17399124330183e-11,1.7120982362770352e-11,2.47712266906471e-11,1.754314392009456e-11,delta,0,0,0,1,0
I1,1.3659611496335924e-10,1.919271733448717e-11,2.065326515763921e-11,4.413460470992631e-11,3.9226908181255e-11,delta,0,0,0,1,0
Poz,9.478701835116922e-12,4.169156171729194e-12,5.6646889527686934e-12,7.088738520818132e-12,4.6144542459627706e-12,delta,0,0,0,1,0
I2,1.3596909815447875e-10,1.9210178627119353e-11,2.0694854590394355e-11,4.420508312123619e-11,3.936575442423375e-11,delta,0,0,0,1,0
Po8,1.5826538987865326e-11,8.462519027472028e-12,1.880571230694151e-11,2.1202801336487014e-11,1.3719963103909435e-11,beta,0,0,0,1,0
P6,1.5192716018331268e-11,8.468300522935333e-12,1.8837535826979018e-11,2.2309919312142714e-11,1.5393670142963645e-11,beta,0,0,1,0,0
P2,9.074536513508685e-14,9.657343052489801e-14,1.2338438670846917e-13,3.882345635145952e-13,3.402441410190846e-13,beta,0,0,1,0,0
Cpz,2.8155498539798947e-11,7.1163794630177784e-12,1.20136985087889e-11,1.5386602164385068e-11,5.851457083742207e-12,delta,0,0,1,0,1
Cp4,3.768909812809205e-11,1.2876573017068566e-11,2.017963131231549e-11,5.501590198496555e-11,4.859870483370387e-11,beta,0,0,1,0,1
Tp8,1.528059313616785e-11,8.504404919095012e-12,1.890799913096602e-11,2.2382575845094393e-11,1.544186959628609e-11,beta,0,1,1,0,0
C6,5.384530479647687e-10,8.730185195934376e-11,4.2214799057517784e-11,8.32769271645346e-11,7.032001795042045e-11,delta,0,0,0,0,1
C2,2.426571814367638e-10,4.121863919251237e-11,2.6211151368724357e-11,4.0357743869998324e-11,2.0755437072208532e-11,delta,0,0,0,0,1
Fc4,3.7223437716170916e-10,7.988920678407119e-11,5.753070000149378e-11,2.317738006568248e-10,2.1840238959261896e-10,delta,1,0,0,0,1
Ft8,4.0260039603585345e-10,7.201741269209519e-11,4.899499839057245e-11,9.105438661031761e-11,7.087058886185591e-11,delta,1,1,0,0,0
F6,1.028859399221419e-09,1.5780306417116442e-10,5.244049024561736e-11,1.468149062755186e-10,1.2719943457997638e-10,delta,1,0,0,0,0
Af8,5.571764276350567e-09,8.333466556010224e-10,9.832444266759462e-11,2.483632698498478e-10,1.8693253708528693e-10,delta,1,0,0,0,0
Af4,2.7819975229321727e-09,4.13314734209871e-10,6.748083775265384e-11,1.486829851454e-10,1.1864491147494885e-10,delta,1,0,0,0,0
