Channel,delta,theta,alpha,beta,gamma,max_energy_band,Frontal Lobe,Temporal Lobe,Parietal Lobe,Occipital Lobe,Central Region
Fp1,4.94327925263546e-09,1.354756889138471e-09,2.183358901967548e-10,4.259891445467499e-11,2.1034458289894256e-11,delta,1,0,0,0,0
Fz,5.989760027575828e-10,1.6137869051139203e-10,4.505459900707941e-11,3.674264952433444e-11,2.145503022824326e-11,delta,1,0,0,0,0
F3,7.19097830206571e-10,1.9469129040204295e-10,5.008257345828528e-11,6.476643234968531e-11,6.616238457780972e-11,delta,1,0,0,0,0
F7,8.501303900856433e-10,2.2003762684224712e-10,5.485566222206603e-11,9.152376601173184e-11,1.032217217991317e-10,delta,1,0,0,0,0
Iz,4.7154859103921654e-11,4.1357922315354145e-11,2.5041807649255847e-11,5.2205464105342555e-11,2.6827130559869143e-11,beta,0,0,0,1,0
Fc5,2.645958155198297e-10,9.705555258281806e-11,3.659521388177939e-11,1.3457910543415739e-10,1.8508970549381975e-10,delta,1,0,0,0,1
Fc1,2.425841640603968e-10,8.032006947875484e-11,2.978986173878948e-11,4.4874029655983185e-11,3.344443650756463e-11,delta,1,0,0,0,1
C3,1.0118380777595594e-10,5.497122624777122e-11,2.400686427628689e-11,9.575604531293284e-11,1.1421282147722136e-10,gamma,0,0,0,0,1
T7,9.735069520783488e-11,6.118532714105936e-11,3.2653350499906506e-11,1.2884746057655795e-10,1.4460956942781366e-10,gamma,0,1,0,0,0
Tp9,6.448974329700038e-11,5.021169454533686e-11,3.098666862154237e-11,4.9469941954918906e-11,2.933584486940079e-11,delta,0,1,1,0,0
Cp5,4.211696875019246e-11,2.2456316904834524e-11,1.4777882612608816e-11,2.4516089371992948e-11,2.2146628894643044e-11,delta,0,0,1,0,1
Cp1,3.579841231668431e-11,1.7134701981127997e-11,8.300973340269735e-12,1.1915538241183714e-11,8.171113223487434e-12,delta,0,0,1,0,1
P3,1.4509965619521645e-11,9.764016389534759e-12,7.473632856968101e-12,7.797414744219273e-12,4.7950818249578324e-12,delta,0,0,1,0,0
P7,3.249100615356661e-11,2.5331211747173612e-11,1.7155366936227874e-11,1.9337913096964766e-11,1.0826581143580481e-11,delta,0,0,1,0,0
O1,2.5026059953804215e-11,2.1836764397203973e-11,1.473761390562524e-11,2.4152426175390595e-11,1.4597438496991804e-11,delta,0,0,0,1,0
Oz,1.8903099673900167e-11,1.3847465382619685e-11,8.192598388648299e-12,1.3688131598157186e-11,9.004468603228328e-12,delta,0,0,0,1,0
O2,2.6681843358841967e-11,2.0454377110887452e-11,1.3900057705373019e-11,2.4320680929354047e-11,1.8781537505709925e-11,delta,0,0,0,1,0
P4,1.1458398217737094e-11,1.3897226532569057e-11,9.821857632588387e-12,1.1592832160986465e-11,6.5139407004355005e-12,theta,0,0,1,0,0
P8,2.8619988773060886e-11,3.2927830357248945e-11,1.8995863998912005e-11,3.1116185123671204e-11,1.8610137411652603e-11,theta,0,0,1,0,0
Tp10,5.7084539620706284e-11,1.5891521491377662e-10,8.000271886147812e-11,2.4698197462053277e-10,1.359597058620903e-10,beta,0,1,1,0,0
Cp6,2.299190526055619e-11,2.952468277741922e-11,2.0769296752230217e-11,4.06626122407695e-11,2.4771697561920986e-11,beta,0,0,1,0,1
Cp2,2.3397842797361074e-11,1.1979468505017752e-11,7.360061917298516e-12,9.97382393182204e-12,6.085658153231349e-12,delta,0,0,1,0,1
Cz,7.405805902923388e-11,3.5774802614630275e-11,1.52716249352236e-11,1.6556592405968476e-11,8.745843513008328e-12,delta,0,0,0,0,1
C4,6.40449116330881e-11,3.7590041309089834e-11,2.2658613454218723e-11,6.348224311403811e-11,5.821779350826621e-11,delta,0,0,0,0,1
T8,6.904035929026411e-11,7.268800424721688e-11,3.787691761224539e-11,1.0566367593333395e-10,7.732262429344978e-11,beta,0,1,0,0,0
Ft10,7.629035779975052e-11,6.954114361467486e-11,3.646453133364664e-11,7.579670465797152e-11,5.384121671150922e-11,delta,1,1,0,0,0
Fc6,1.362845765232832e-10,5.472984539402418e-11,3.1175596308671473e-11,8.615902107502841e-11,8.71383314147175e-11,delta,1,0,0,0,1
Fc2,2.0985135405753222e-10,7.445250136165779e-11,2.969434919958101e-11,5.393099913419929e-11,4.786043701309348e-11,delta,1,0,0,0,1
F4,5.547763388139754e-10,1.6283882542632435e-10,5.388521240441581e-11,2.0430219071715602e-10,2.7208451584195195e-10,delta,1,0,0,0,0
F8,2.515871266691964e-10,1.0136631112877721e-10,4.0438165042532934e-11,1.2928874082097438e-10,1.446470736090162e-10,delta,1,0,0,0,0
Fp2,6.977683750922176e-09,1.8810635272004845e-09,2.710261194436963e-10,5.6595677370526427e-11,4.167554296587153e-11,delta,1,0,0,0,0
Af7,2.6652163936871326e-09,7.177346295741956e-10,1.2369069884267385e-10,6.46395695218685e-11,6.213673758881242e-11,delta,1,0,0,0,0
Af3,1.8607310638810682e-09,4.86624848768702e-10,9.283918529309001e-11,4.038753312947114e-11,2.6952925439353373e-11,delta,1,0,0,0,0
Afz,1.633807104854499e-09,4.188028632026433e-10,8.319760869798155e-11,3.510644231471979e-11,1.9525694154291917e-11,delta,1,0,0,0,0
F1,6.140749815807527e-10,1.650412319668788e-10,4.540519406583668e-11,4.263894954888797e-11,2.944301848560473e-11,delta,1,0,0,0,0
F5,8.351904599355254e-10,2.3096865928824464e-10,5.7269855359259035e-11,1.234498955784134e-10,1.6713472746504003e-10,delta,1,0,0,0,0
Ft7,2.607199088110762e-10,9.06973641824647e-11,3.990674923322298e-11,1.8309530157628835e-10,2.2813717116149422e-10,delta,1,1,0,0,0
Fc3,2.5348706355889625e-10,1.0171984509754361e-10,3.6359142493385796e-11,1.3744793408930504e-10,1.6776146381561714e-10,delta,1,0,0,0,1
C1,1.0148506996895259e-10,4.302168587148329e-11,1.7997688641970087e-11,2.731563848646452e-11,2.0952440689329198e-11,delta,0,0,0,0,1
C5,9.104439465427883e-11,4.7238245451889006e-11,2.3522401581343523e-11,6.830776900968386e-11,8.764375301724243e-11,delta,0,0,0,0,1
Tp7,4.58857224391468e-11,2.930064054387565e-11,2.0154572593392086e-11,2.979185585766734e-11,2.506260582556401e-11,delta,0,1,1,0,0
Cp3,3.9443638174878623e-11,2.053192541911394e-11,1.1311699053355403e-11,2.3295928381154488e-11,2.206420856374755e-11,delta,0,0,1,0,1
