Channel,delta,theta,alpha,beta,gamma,max_energy_band,Frontal Lobe,Temporal Lobe,Parietal Lobe,Occipital Lobe,Central Region
Fp1,3.860641111810243e-10,1.0395990704023045e-10,1.1116667047584798e-10,5.288880571524104e-10,3.339534406676745e-10,beta,1,0,0,0,0
Fz,7.269386485702178e-11,3.575814469473917e-11,7.911975379700588e-11,5.141508261610116e-11,9.313981964510991e-12,alpha,1,0,0,0,0
F3,7.208365760084096e-11,3.545496246683024e-11,7.852910900606191e-11,5.0948543407168426e-11,9.159173625060825e-12,alpha,1,0,0,0,0
F7,1.2545827535470504e-10,6.471574938294447e-11,1.2135608212125202e-10,1.1249101844282912e-10,5.1873496763187445e-11,delta,1,0,0,0,0
Iz,4.1897360290053475e-12,2.2640936849040306e-12,7.425713525038955e-12,6.451051884908975e-12,2.4054172371840486e-12,alpha,0,0,0,1,0
Fc5,1.827785917110665e-11,1.0336978848014562e-11,2.961845087608299e-11,3.0741287947539646e-11,1.05360100474406e-11,beta,1,0,0,0,1
Fc1,1.8178995241153335e-11,1.038556525901399e-11,2.979700387263282e-11,3.104248836825541e-11,1.049574787780619e-11,beta,1,0,0,0,1
C3,8.479524577747001e-12,4.888565568110599e-12,1.8057548153403743e-11,1.5915696542046804e-11,7.44266036027792e-12,alpha,0,0,0,0,1
T7,8.294707037217478e-11,2.6985355703314745e-11,9.468296632468914e-11,6.654094508185448e-11,2.2311591276526174e-11,alpha,0,1,0,0,0
Tp9,8.346226678470509e-11,2.7273819619660818e-11,9.4983663786653e-11,6.711988808595052e-11,2.2246980371923576e-11,alpha,0,1,1,0,0
Cp5,9.611044402915068e-12,5.379169590562317e-12,2.162151172737146e-11,1.831720245941e-11,9.459377200182172e-12,alpha,0,0,1,0,1
Cp1,3.5319299786020564e-12,1.5826371240546822e-12,4.8343309788191125e-12,4.900817216220867e-12,1.3079859320004897e-12,beta,0,0,1,0,1
P3,8.154167816747843e-11,2.663486490398032e-11,9.358992234868967e-11,6.570579262989647e-11,2.1777839823725338e-11,alpha,0,0,1,0,0
P7,8.196823895930151e-11,2.6818434920534573e-11,9.390624413095045e-11,6.6068310433646e-11,2.190466209123746e-11,alpha,0,0,1,0,0
O1,4.233264901236469e-12,2.2827460167437377e-12,7.520847377651735e-12,6.5513586327337284e-12,2.4950935067313378e-12,alpha,0,0,0,1,0
Oz,4.15447658377821e-12,2.2308942841904678e-12,7.430594404047712e-12,6.390999914371463e-12,2.3711222018435022e-12,alpha,0,0,0,1,0
O2,4.17758186385243e-12,2.242871128464709e-12,7.413490815934685e-12,6.400424442180316e-12,2.381121977538216e-12,alpha,0,0,0,1,0
P4,4.18198180680319e-12,2.2447765360059495e-12,7.443740293219314e-12,6.423646216774096e-12,2.396088483221012e-12,alpha,0,0,1,0,0
P8,4.826229351183081e-12,3.4415132539559947e-12,9.466222132814936e-12,7.15224499562101e-12,2.8257922584039736e-12,alpha,0,0,1,0,0
Tp10,6.139527875992566e-11,3.686914469161238e-11,1.4024499725585705e-10,9.198244616413047e-11,3.250323184223982e-11,alpha,0,1,1,0,0
Cp6,6.22260655115494e-11,3.685896697707278e-11,1.4006855142561135e-10,9.219118204104913e-11,3.272757034898127e-11,alpha,0,0,1,0,1
Cp2,3.156714872268851e-12,1.6478871342342228e-12,7.627719933728171e-12,7.69378009514952e-12,3.0608180069816293e-12,beta,0,0,1,0,1
Cz,1.6667096898819277e-11,9.260283685434368e-12,3.4891496254472615e-11,2.7271913459923787e-11,4.96873804000563e-12,alpha,0,0,0,0,1
C4,5.646644361161896e-11,2.019580177866846e-11,5.495713586973559e-11,8.57624408432686e-11,7.78532429765156e-11,beta,0,0,0,0,1
T8,6.278373996581746e-11,3.6870499072999343e-11,1.3996352107932433e-10,9.262159121284923e-11,3.284295858723262e-11,alpha,0,1,0,0,0
Ft10,7.667601658001964e-11,5.223206265353304e-11,1.5496836120293588e-10,8.925298690921446e-11,3.284619374418623e-11,alpha,1,1,0,0,0
Fc6,7.552212954308288e-11,5.14664161515782e-11,1.5292850764148558e-10,8.812908348398019e-11,3.173275169064644e-11,alpha,1,0,0,0,1
Fc2,2.6785997069917682e-11,1.5214070879244493e-11,4.9605861996311724e-11,4.160583451133868e-11,7.976571833947125e-12,alpha,1,0,0,0,1
F4,8.713279418710664e-11,4.448760420706782e-11,9.66694438700545e-11,6.145780332864871e-11,1.3521989848959711e-11,alpha,1,0,0,0,0
F8,1.0881726296036303e-10,5.716401517545254e-11,1.2260331706813183e-10,7.779968448001829e-11,2.1861233266166798e-11,alpha,1,0,0,0,0
Fp2,4.2413837634283275e-10,1.165514347680276e-10,1.1081793298885767e-10,2.518140279594415e-10,1.5226275106793217e-10,delta,1,0,0,0,0
Af7,1.5302116666013058e-10,6.840840904685418e-11,1.2123643263496743e-10,3.2953203579330784e-10,2.349202229672119e-10,beta,1,0,0,0,0
